experiment,fault,fault_type,mode,mode_name,seed,n_baseline,n_pre_test,n_post_test,baseline_fraction_of_pre,true_negatives,false_positives,false_negatives,true_positives,auc_roc,average_precision,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,sustained_detection,detection_delay_from_nominal_midpoint_s,median_index_pre,median_index_post
F4L,4,Sombreamento parcial nao uniforme (10-20%),L,IPPT (potencia limitada),42,180,180,359,0.5,180,0,357,2,0.5566078613432375,0.6970043556950347,0.005571030640668524,0.0015291093879739055,0.020082144315449087,1.0,0.9791045020783868,1.0,0.5027855153203342,0.04321324533393813,False,,0.16707670210863074,0.18953343023265914
F4L,4,Sombreamento parcial nao uniforme (10-20%),L,IPPT (potencia limitada),71,180,180,359,0.5,179,1,355,4,0.5915041782729805,0.7151534917087232,0.011142061281337047,0.004341225376932932,0.028294126876310645,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.5027932528628908,0.02748325037752135,False,,0.1450963851504573,0.18085625177988368
F4L,4,Sombreamento parcial nao uniforme (10-20%),L,IPPT (potencia limitada),101,180,180,359,0.5,180,0,358,1,0.556313834726091,0.6911498430974853,0.002785515320334262,0.0004918811981754609,0.015607323230337235,1.0,0.9791045020783868,1.0,0.5013927576601671,0.03052796748270094,False,,0.14747346547920823,0.16509856098005904
F4M,4,Sombreamento parcial nao uniforme (10-20%),M,MPPT (potencia maxima),13,180,180,359,0.5,177,3,346,13,0.5262921696069328,0.6915253709365183,0.036211699164345405,0.021282388592558817,0.060961407134877396,0.9833333333333333,0.952151771962928,0.9943159133795125,0.5097725162488393,0.054313656079144464,False,,0.20309697647224556,0.19122009024610015
F4M,4,Sombreamento parcial nao uniforme (10-20%),M,MPPT (potencia maxima),29,180,180,359,0.5,178,2,351,8,0.5474466109563603,0.7011760397350657,0.022284122562674095,0.011334029176124538,0.04334952017676022,0.9888888888888889,0.9603989991004155,0.9969476251540074,0.5055865057257816,0.03905043577988542,False,,0.19989671932205605,0.19918412867457566
F4M,4,Sombreamento parcial nao uniforme (10-20%),M,MPPT (potencia maxima),42,180,180,359,0.5,178,2,352,7,0.5506809037449706,0.6997106379201252,0.019498607242339833,0.009476527316162907,0.03969497276181155,0.9888888888888889,0.9603989991004155,0.9969476251540074,0.5041937480656143,0.03087142098736352,False,,0.22899459954233126,0.23762582922610884
F4M,4,Sombreamento parcial nao uniforme (10-20%),M,MPPT (potencia maxima),71,180,180,359,0.5,177,3,348,11,0.5418910554008046,0.6914954214475278,0.03064066852367688,0.01719380923272017,0.05402588794489546,0.9833333333333333,0.952151771962928,0.9943159133795125,0.5069870009285051,0.04143435702931425,False,,0.17991904022942962,0.19377820362307888
F4M,4,Sombreamento parcial nao uniforme (10-20%),M,MPPT (potencia maxima),101,180,180,359,0.5,179,1,350,9,0.5376044568245125,0.6981980822247609,0.025069637883008356,0.013244174581490527,0.04695142404630452,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.5097570411637264,0.06820304642442591,False,,0.1987341474572023,0.19577911902253414
F5L,5,Circuito aberto em 15% do arranjo PV,L,IPPT (potencia limitada),13,178,179,357,0.49859943977591037,173,6,0,357,1.0,1.0,1.0,0.9893541644764191,1.0,0.9664804469273743,0.9288107184545821,0.9845488722921246,0.9832402234636872,0.9749387485924883,True,0.0,0.2927959000803002,610.5418414173297
F5L,5,Circuito aberto em 15% do arranjo PV,L,IPPT (potencia limitada),29,178,179,357,0.49859943977591037,175,4,0,357,1.0,1.0,1.0,0.9893541644764191,1.0,0.9776536312849162,0.9439600415761618,0.9912764255956157,0.9888268156424581,0.9832705141864383,True,0.0,0.28826758755534376,583.107569532764
