model,component,magnitude,empirical_cdf,log_magnitude,weibull_y,position_method
ae_denso,fusivel_ac,0.18,0.02025586353944553,-1.7147984280919266,-3.8890965051286788,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.21,0.023809523809523725,-1.5606477482646683,-3.725645037876429,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.25,0.02736318407960192,-1.3862943611198906,-3.5847166245843014,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.29,0.030916844349680117,-1.2378743560016174,-3.460792785638753,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.3,0.0362473347547973,-1.2039728043259361,-3.2989859265155257,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.31,0.041577825159914594,-1.171182981502945,-3.1590299877645958,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.32,0.050461975835110084,-1.1394342831883648,-2.960757040136801,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.33,0.0628997867803837,-1.1086626245216111,-2.7339058256677977,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.34,0.07533759772565732,-1.0788096613719298,-2.546868287838412,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.35000000000000003,0.08777540867093092,-1.0498221244986776,-2.38739101139788,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.36,0.1055437100213218,-1.0216512475319814,-2.193378798979611,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.37,0.12864250177682993,-0.9942522733438669,-1.9826565182233178,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.38,0.16240227434257262,-0.9675840262617056,-1.7303784197594316,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.39,0.21570717839374554,-0.941608539858445,-1.4148056467580707,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.4,0.2672352523098794,-0.916290731874155,-1.1681856293529758,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.41000000000000003,0.3134328358208959,-0.8915981192837835,-0.9780299137488601,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.42,0.35074626865671693,-0.8675005677047231,-0.8394878483916769,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.43,0.38095238095238165,-0.843970070294529,-0.7348589869664706,modified_KM_NIST_grouped_ties
