analysis,model,model_name,seed,is_reference,experiment,fault,fault_type,mode,mode_name,sequence_length,decision_target,context_policy,uses_future_windows,crosses_experiment_or_split,transition_post_windows,n_pre_fault_test,n_post_fault_evaluated,post_fault_context_reset,context_fully_post_fault,score_threshold,score_top_k,auc_pr,auc_roc,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,f1,precision,precision_defined,recall,false_positive_rate,tn,fp,fn,tp
current_full,ae_denso,Autoencoder Denso,13,False,F1M,1,Falha completa de um IGBT,M,MPPT (potência máxima),8,W_t,continuous_causal_within_experiment,False,False,7,174,347,False,False,3.5103249549865723,5,0.9625125289458833,0.909917519626354,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
transition,ae_denso,Autoencoder Denso,13,False,F1M,1,Falha completa de um IGBT,M,MPPT (potência máxima),8,W_t,continuous_causal_within_experiment,False,False,7,174,7,False,False,3.5103249549865723,5,0.05685615576134665,0.6945812807881774,0.0,5.551115123125783e-17,0.35433043506668743,1.0,0.9783995315481122,1.0,0.5,0.0,0.0,,False,0.0,0.0,174,0,7,0
sustained,ae_denso,Autoencoder Denso,13,False,F1M,1,Falha completa de um IGBT,M,MPPT (potência máxima),8,W_t,continuous_causal_within_experiment,False,False,7,174,340,False,True,3.5103249549865723,5,0.9642400745432129,0.9143509127789046,0.8,0.7542362903198585,0.8390604014161478,1.0,0.9783995315481122,1.0,0.9,0.7584237678041531,0.8888888888888888,1.0,True,0.8,0.0,174,0,68,272
post_fault_reset,ae_denso,Autoencoder Denso,13,False,F1M,1,Falha completa de um IGBT,M,MPPT (potência máxima),8,W_t,continuous_causal_within_experiment,False,False,7,174,347,True,True,3.5103249549865723,5,0.9625125289458833,0.909917519626354,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
current_full,ae_denso,Autoencoder Denso,29,False,F1M,1,Falha completa de um IGBT,M,MPPT (potência máxima),8,W_t,continuous_causal_within_experiment,False,False,7,174,347,False,False,3.3771872520446777,5,0.9608705161751727,0.9069197389777733,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
transition,ae_denso,Autoencoder Denso,29,False,F1M,1,Falha completa de um IGBT,M,MPPT (potência máxima),8,W_t,continuous_causal_within_experiment,False,False,7,174,7,False,False,3.3771872520446777,5,0.049177374184247155,0.6510673234811166,0.0,5.551115123125783e-17,0.35433043506668743,1.0,0.9783995315481122,1.0,0.5,0.0,0.0,,False,0.0,0.0,174,0,7,0
sustained,ae_denso,Autoencoder Denso,29,False,F1M,1,Falha completa de um IGBT,M,MPPT (potência máxima),8,W_t,continuous_causal_within_experiment,False,False,7,174,340,False,True,3.3771872520446777,5,0.9629446534289623,0.912187288708587,0.8,0.7542362903198585,0.8390604014161478,1.0,0.9783995315481122,1.0,0.9,0.7584237678041531,0.8888888888888888,1.0,True,0.8,0.0,174,0,68,272
post_fault_reset,ae_denso,Autoencoder Denso,29,False,F1M,1,Falha completa de um IGBT,M,MPPT (potência máxima),8,W_t,continuous_causal_within_experiment,False,False,7,174,347,True,True,3.3771872520446777,5,0.9608705161751727,0.9069197389777733,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
current_full,ae_denso,Autoencoder Denso,42,True,F1M,1,Falha completa de um IGBT,M,MPPT (potência máxima),8,W_t,continuous_causal_within_experiment,False,False,7,174,347,False,False,3.461894989013672,5,0.9617956563447204,0.9087747192686076,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
transition,ae_denso,Autoencoder Denso,42,True,F1M,1,Falha completa de um IGBT,M,MPPT (potência máxima),8,W_t,continuous_causal_within_experiment,False,False,7,174,7,False,False,3.461894989013672,5,0.057823547691568944,0.6986863711001642,0.0,5.551115123125783e-17,0.35433043506668743,1.0,0.9783995315481122,1.0,0.5,0.0,0.0,,False,0.0,0.0,174,0,7,0
