model,model_name,seed,is_reference,score_top_k,threshold_requested_percentile,threshold_method,score_threshold,threshold_effective_percentile,threshold_selected_rank,threshold_selected_order_index,calibration_n,threshold_percentile_resolution,healthy_test_false_positive_rate,healthy_test_n,fault_experiment_count,valid_fault_trial_count,calibration_role,fault_evaluation_role,uses_fault_data_for_selection,is_historical_reference_configuration,macro_recall,macro_recall_n_valid,macro_f1,macro_f1_n_valid,macro_precision,macro_precision_n_valid
ae_lstm,AE-LSTM,71,False,5,99.5,healthy_percentile_higher,23.200977325439453,99.52380952380952,209,208,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3841831486924567,14,0.4328339618577946,14,0.9612453032742887,9
ae_lstm,AE-LSTM,71,False,5,99.9,healthy_percentile_higher,23.558273315429688,100.0,210,209,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,True,0.38378521793240894,14,0.43212746146211484,14,0.9617283950617284,9
ae_lstm,AE-LSTM,71,False,10,99.0,healthy_percentile_higher,11.422256469726562,99.04761904761905,208,207,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3843821140724805,14,0.4328709359070692,14,0.9582550727539714,9
ae_lstm,AE-LSTM,71,False,10,99.5,healthy_percentile_higher,11.641742706298828,99.52380952380952,209,208,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3843821140724805,14,0.4330723570791349,14,0.9590363815142575,9
ae_lstm,AE-LSTM,71,False,10,99.9,healthy_percentile_higher,11.981471061706543,100.0,210,209,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38378521793240894,14,0.4320111102119669,14,0.957554900032776,9
ae_lstm,AE-LSTM,71,False,20,99.0,healthy_percentile_higher,5.732883453369141,99.04761904761905,208,207,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3845810794525044,14,0.43322556639562826,14,0.9596225941214926,9
ae_lstm,AE-LSTM,71,False,20,99.5,healthy_percentile_higher,5.826559543609619,99.52380952380952,209,208,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3843821140724805,14,0.4329730269209707,14,0.958720724948601,9
ae_lstm,AE-LSTM,71,False,20,99.9,healthy_percentile_higher,6.052578926086426,100.0,210,209,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38356339007082957,14,0.4318524097069848,14,0.9575308641975308,9
ae_lstm,AE-LSTM,101,False,5,99.0,healthy_percentile_higher,19.715145111083984,99.04761904761905,208,207,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38597463305797536,14,0.4302893169011976,14,0.9396668861590357,9
ae_lstm,AE-LSTM,101,False,5,99.5,healthy_percentile_higher,20.64815330505371,99.52380952380952,209,208,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3851502885653632,14,0.43010321173768995,14,0.9391154452324666,9
ae_lstm,AE-LSTM,101,False,5,99.9,healthy_percentile_higher,20.811450958251953,100.0,210,209,210,0.47619047619047616,0.0071174377224199285,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,True,0.3851502885653632,14,0.430305111332987,14,0.9440476190476191,9
ae_lstm,AE-LSTM,101,False,10,99.0,healthy_percentile_higher,9.929354667663574,99.04761904761905,208,207,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.387614891306758,14,0.4321651019618446,14,0.9486871454317009,9
ae_lstm,AE-LSTM,101,False,10,99.5,healthy_percentile_higher,10.480947494506836,99.52380952380952,209,208,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38575280519639593,14,0.43035309442222586,14,0.9445406287198617,9
ae_lstm,AE-LSTM,101,False,10,99.9,healthy_percentile_higher,10.52524471282959,100.0,210,209,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38575280519639593,14,0.4304485089530928,14,0.9449115315297887,9
ae_lstm,AE-LSTM,101,False,20,99.0,healthy_percentile_higher,4.98378324508667,99.04761904761905,208,207,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38801844255776696,14,0.4321353654072107,14,0.9476546108515334,9
ae_lstm,AE-LSTM,101,False,20,99.5,healthy_percentile_higher,5.288845062255859,99.52380952380952,209,208,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38575280519639593,14,0.4302537642640617,14,0.944224972154205,9
ae_lstm,AE-LSTM,101,False,20,99.9,healthy_percentile_higher,5.292898178100586,100.0,210,209,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38575280519639593,14,0.4302537642640617,14,0.944224972154205,9
