model,model_name,seed,is_reference,experiment,fault,fault_type,mode,mode_name,n_commissioning,n_pre_fault_test,n_post_fault_test,fault_boundary_method,score_threshold,score_top_k,threshold_requested_percentile,threshold_effective_percentile,auc_pr,auc_roc,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,f1,precision,precision_defined,recall,false_positive_rate,tn,fp,fn,tp
ae_lstm,AE-LSTM,29,False,F2L,2,Falha de 20% em sensor de fase,L,IPPT (potência limitada),177,178,354,nominal_mid_record,21.43026351928711,5,99.9,100.0,0.951601931899644,0.8828001015679553,0.7542372881355932,0.7068164089441729,0.7961996490419805,1.0,0.978874681023748,0.9999999999999999,0.8771186440677966,0.7117722693049056,0.8599033816425121,1.0,True,0.7542372881355932,0.0,178,0,87,267
ae_lstm,AE-LSTM,42,True,F2L,2,Falha de 20% em sensor de fase,L,IPPT (potência limitada),177,178,354,nominal_mid_record,18.583059310913086,5,99.9,100.0,0.950582778255282,0.8806100425315813,0.7740112994350282,0.7276369390934678,0.8145025900693863,0.9662921348314607,0.9284215697242858,0.9844615597697713,0.8701517171332445,0.6995876113735076,0.8643533123028391,0.9785714285714285,True,0.7740112994350282,0.033707865168539325,172,6,80,274
ae_lstm,AE-LSTM,71,False,F2L,2,Falha de 20% em sensor de fase,L,IPPT (potência limitada),177,178,354,nominal_mid_record,23.55827522277832,5,99.9,100.0,0.9490122334558868,0.8752618548847839,0.7570621468926554,0.709782879978729,0.7988222453183816,1.0,0.978874681023748,0.9999999999999999,0.8785310734463276,0.7144532295560558,0.8617363344051447,1.0,True,0.7570621468926554,0.0,178,0,86,268
ae_lstm,AE-LSTM,101,False,F2L,2,Falha de 20% em sensor de fase,L,IPPT (potência limitada),177,178,354,nominal_mid_record,20.811450958251953,5,99.9,100.0,0.9479939420577657,0.8725163460928076,0.768361581920904,0.7216748503503587,0.809286544190581,0.9550561797752809,0.9138329386285308,0.9770530070222961,0.8617088808480924,0.683630631042059,0.8580441640378549,0.9714285714285714,True,0.768361581920904,0.0449438202247191,170,8,82,272
ae_denso,Autoencoder Denso,13,False,F2M,2,Falha de 20% em sensor de fase,M,MPPT (potência máxima),180,180,359,nominal_mid_record,6.9307708740234375,5,99.9,100.0,0.9615515032655165,0.9073506654286599,0.7938718662952646,0.7490214699083066,0.8324997285947293,1.0,0.9791045020783868,1.0,0.8969359331476323,0.7500575724179619,0.8850931677018633,1.0,True,0.7938718662952646,0.0,180,0,74,285
ae_denso,Autoencoder Denso,29,False,F2M,2,Falha de 20% em sensor de fase,M,MPPT (potência máxima),180,180,359,nominal_mid_record,4.722944259643555,5,99.9,100.0,0.9587224505390957,0.8988548437016404,0.7938718662952646,0.7490214699083066,0.8324997285947293,1.0,0.9791045020783868,1.0,0.8969359331476323,0.7500575724179619,0.8850931677018633,1.0,True,0.7938718662952646,0.0,180,0,74,285
ae_denso,Autoencoder Denso,42,True,F2M,2,Falha de 20% em sensor de fase,M,MPPT (potência máxima),180,180,359,nominal_mid_record,5.104478359222412,5,99.9,100.0,0.9609319481724661,0.905385329619313,0.7938718662952646,0.7490214699083066,0.8324997285947293,1.0,0.9791045020783868,1.0,0.8969359331476323,0.7500575724179619,0.8850931677018633,1.0,True,0.7938718662952646,0.0,180,0,74,285
ae_denso,Autoencoder Denso,71,False,F2M,2,Falha de 20% em sensor de fase,M,MPPT (potência máxima),180,180,359,nominal_mid_record,5.563272953033447,5,99.9,100.0,0.9604167919534161,0.903884246363355,0.7938718662952646,0.7490214699083066,0.8324997285947293,1.0,0.9791045020783868,1.0,0.8969359331476323,0.7500575724179619,0.8850931677018633,1.0,True,0.7938718662952646,0.0,180,0,74,285
ae_denso,Autoencoder Denso,101,False,F2M,2,Falha de 20% em sensor de fase,M,MPPT (potência máxima),180,180,359,nominal_mid_record,5.649452209472656,5,99.9,100.0,0.9597651461442008,0.9017486846177655,0.7938718662952646,0.7490214699083066,0.8324997285947293,1.0,0.9791045020783868,1.0,0.8969359331476323,0.7500575724179619,0.8850931677018633,1.0,True,0.7938718662952646,0.0,180,0,74,285
ae_lstm,AE-LSTM,13,False,F2M,2,Falha de 20% em sensor de fase,M,MPPT (potência máxima),180,180,359,nominal_mid_record,25.407878875732422,5,99.9,100.0,0.9597891758450977,0.9039616217889198,0.7938718662952646,0.7490214699083066,0.8324997285947293,1.0,0.9791045020783868,1.0,0.8969359331476323,0.7500575724179619,0.8850931677018633,1.0,True,0.7938718662952646,0.0,180,0,74,285
