injection_id,model,a,pod
sensor_realimentacao,ae_lstm,0.84,0.042704626334519574
sensor_realimentacao,ae_lstm,0.86,0.042704626334519574
sensor_realimentacao,ae_lstm,0.88,0.0498220640569395
sensor_realimentacao,ae_lstm,0.9,0.05338078291814947
sensor_realimentacao,ae_lstm,0.92,0.05693950177935943
sensor_realimentacao,ae_lstm,0.94,0.05693950177935943
sensor_realimentacao,ae_lstm,0.96,0.060498220640569395
sensor_realimentacao,ae_lstm,0.98,0.060498220640569395
sensor_realimentacao,ae_lstm,1.0,0.060498220640569395
controle,ae_denso,0.02,0.49466192170818507
controle,ae_denso,0.04,0.49466192170818507
controle,ae_denso,0.06,0.49466192170818507
controle,ae_denso,0.08,0.49466192170818507
controle,ae_denso,0.1,0.49466192170818507
controle,ae_denso,0.12,0.49466192170818507
controle,ae_denso,0.14,0.49466192170818507
controle,ae_denso,0.16,0.49466192170818507
controle,ae_denso,0.18,0.49466192170818507
controle,ae_denso,0.2,0.49466192170818507
controle,ae_denso,0.22,0.49466192170818507
controle,ae_denso,0.24,0.49466192170818507
controle,ae_denso,0.26,0.49466192170818507
controle,ae_denso,0.28,0.49466192170818507
controle,ae_denso,0.3,0.49466192170818507
controle,ae_denso,0.32,0.49466192170818507
controle,ae_denso,0.34,0.49466192170818507
controle,ae_denso,0.36,0.49466192170818507
controle,ae_denso,0.38,0.49466192170818507
controle,ae_denso,0.4,0.49466192170818507
controle,ae_denso,0.42,0.49466192170818507
controle,ae_denso,0.44,0.49466192170818507
controle,ae_denso,0.46,0.49466192170818507
controle,ae_denso,0.48,0.49466192170818507
controle,ae_denso,0.5,0.49466192170818507
controle,ae_denso,0.52,0.49466192170818507
controle,ae_denso,0.54,0.498220640569395
controle,ae_denso,0.56,0.505338078291815
controle,ae_denso,0.58,0.5195729537366548
controle,ae_denso,0.6,0.5302491103202847
controle,ae_denso,0.62,0.5516014234875445
controle,ae_denso,0.64,0.5800711743772242
controle,ae_denso,0.66,0.6014234875444839
controle,ae_denso,0.68,0.6690391459074733
controle,ae_denso,0.7,0.7259786476868327
controle,ae_denso,0.72,0.7829181494661922
controle,ae_denso,0.74,0.8398576512455516
controle,ae_denso,0.76,0.9110320284697508
controle,ae_denso,0.78,0.9359430604982206
controle,ae_denso,0.8,0.9537366548042705
controle,ae_denso,0.82,0.9822064056939501
controle,ae_denso,0.84,0.9893238434163701
controle,ae_denso,0.86,0.9928825622775801
controle,ae_denso,0.88,0.99644128113879
controle,ae_denso,0.9,0.99644128113879
controle,ae_denso,0.92,0.99644128113879
controle,ae_denso,0.94,0.99644128113879
controle,ae_denso,0.96,0.99644128113879
controle,ae_denso,0.98,0.99644128113879
controle,ae_denso,1.0,0.99644128113879
controle,ae_lstm,0.02,0.49466192170818507
controle,ae_lstm,0.04,0.49466192170818507
controle,ae_lstm,0.06,0.49466192170818507
controle,ae_lstm,0.08,0.49466192170818507
controle,ae_lstm,0.1,0.49466192170818507
controle,ae_lstm,0.12,0.49466192170818507
controle,ae_lstm,0.14,0.49466192170818507
controle,ae_lstm,0.16,0.49466192170818507
controle,ae_lstm,0.18,0.49466192170818507
controle,ae_lstm,0.2,0.49466192170818507
controle,ae_lstm,0.22,0.49466192170818507
controle,ae_lstm,0.24,0.49466192170818507
controle,ae_lstm,0.26,0.49466192170818507
controle,ae_lstm,0.28,0.49466192170818507
controle,ae_lstm,0.3,0.49466192170818507
controle,ae_lstm,0.32,0.49466192170818507
controle,ae_lstm,0.34,0.49466192170818507
controle,ae_lstm,0.36,0.49466192170818507
controle,ae_lstm,0.38,0.49466192170818507
controle,ae_lstm,0.4,0.49466192170818507
controle,ae_lstm,0.42,0.49466192170818507
controle,ae_lstm,0.44,0.49466192170818507
controle,ae_lstm,0.46,0.49466192170818507
controle,ae_lstm,0.48,0.49466192170818507
controle,ae_lstm,0.5,0.49466192170818507
controle,ae_lstm,0.52,0.49466192170818507
controle,ae_lstm,0.54,0.49466192170818507
controle,ae_lstm,0.56,0.49466192170818507
controle,ae_lstm,0.58,0.49466192170818507
controle,ae_lstm,0.6,0.49466192170818507
controle,ae_lstm,0.62,0.49466192170818507
controle,ae_lstm,0.64,0.49466192170818507
controle,ae_lstm,0.66,0.49466192170818507
controle,ae_lstm,0.68,0.49466192170818507
controle,ae_lstm,0.7,0.49466192170818507
controle,ae_lstm,0.72,0.49466192170818507
controle,ae_lstm,0.74,0.49466192170818507
controle,ae_lstm,0.76,0.501779359430605
controle,ae_lstm,0.78,0.501779359430605
controle,ae_lstm,0.8,0.501779359430605
controle,ae_lstm,0.82,0.505338078291815
controle,ae_lstm,0.84,0.505338078291815
controle,ae_lstm,0.86,0.5088967971530249
controle,ae_lstm,0.88,0.5160142348754448
controle,ae_lstm,0.9,0.5266903914590747
controle,ae_lstm,0.92,0.5409252669039146
controle,ae_lstm,0.94,0.5516014234875445
controle,ae_lstm,0.96,0.597864768683274
controle,ae_lstm,0.98,0.597864768683274
controle,ae_lstm,1.0,0.597864768683274
